N,topology,strategy_names,V,C,gamma,gamma_label,noise_p,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,advantage_vector,q_payoff_vector,strategy_mode,strategy_params,strategy_nash_gap,strategy_is_nash,message
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,0.11059433159646348,False,False,0.985629869058392,0.8750355374619285,"[0.06445401607528789, 0.07507866168184385, 0.1585407497291077, 0.14430389889961415]","[0.9922707842343651, 0.9776689888921176, 0.9860076237772349, 0.9865720793298502]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,0.07660976814420106,False,False,0.9798613565044406,0.9032515883602396,"[0.039094967485985954, 0.04598479449119652, 0.116689397234363, 0.10466991336525844]","[0.9898366098362659, 0.9755886084081715, 0.9768090142679199, 0.9772111935054052]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,0.05387944344051632,False,False,0.9746797506308005,0.9208003071902842,"[0.02548582331378446, 0.029164467843046493, 0.085111379997038, 0.07575610260819543]","[0.9863782138514228, 0.9735140249969875, 0.9692788963787526, 0.9695478672960387]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,0.03836512704490769,False,False,0.9702428978262458,0.9318777707813382,"[0.017961838971657262, 0.019259498675795905, 0.06157026467519655, 0.0546689058569807]","[0.9823672655856264, 0.9712988560803608, 0.9635663585082725, 0.9637391111307236]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.035,ok,0.027590064462888253,False,False,0.9665639361803652,0.9389738717174769,"[0.013572299842372737, 0.01327103430560217, 0.04420855460614348, 0.03930836909743429]","[0.9782346394806707, 0.9690077512359399, 0.959452775673337, 0.9595605783315131]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.04,ok,0.019997146780267205,False,False,0.9635820344116196,0.9435848876313524,"[0.010798874782675827, 0.009521746044351853, 0.0315244772907578, 0.028143489003283118]","[0.974282007176715, 0.9667526414475192, 0.956613858290387, 0.9566796307318571]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.045,ok,0.014582983801263105,False,False,0.9612050901113656,0.9466221063101025,"[0.008872214798372968, 0.007073111638414509, 0.02233400063241997, 0.020052608135844974]","[0.9706853097630397, 0.9646299764124939, 0.95473285666767, 0.9547722176022586]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.05,ok,0.010685645978996572,False,False,0.9593339444579669,0.9486482984789704,"[0.007409505491159929, 0.005398674695594852, 0.015723341302754656, 0.01421106242647685]","[0.9675250182256759, 0.962703323037826, 0.9535421531677277, 0.9535652834006385]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.0,False,True,0.25,0.25,"[0.0, 0.0, 0.0, 0.0]","[0.25, 0.25, 0.25, 0.25]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,0.00020708654013995575,False,False,0.3768950734099407,0.37668798686980076,"[0.012429770252950223, 0.00817321333112353, -0.012005991974812447, -0.007768645448701705]","[0.35824464853658655, 0.3623154282958433, 0.39139143514061114, 0.3956287816667219]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,0.0006967765458288366,False,False,0.4812307951946607,0.4805340186488319,"[0.022956583081810367, 0.015723145660163973, -0.02153372863960945, -0.014358893919049431]","[0.45033821338633195, 0.4569586285241909, 0.5052257520737796, 0.5124005867943405]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,0.0013182185492072174,False,False,0.5669554253153686,0.5656372067661614,"[0.03154682285359356, 0.022344802340975023, -0.028860546544430044, -0.01975820445330989]","[0.5286106052145393, 0.5366758020661119, 0.5967164759448513, 0.6058188180359716]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,0.0019697234246149886,False,False,0.6373374322155851,0.6353677087909702,"[0.038273369661728895, 0.027886595321679808, -0.034267637595628564, -0.024013433689320074]","[0.5950677601918446, 0.6037903117241079, 0.6701187265200399, 0.6803729304263482]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,0.002585793230097222,False,False,0.6950805459286331,0.6924947526985359,"[0.043276155010968376, 0.03230431449771376, -0.038028059090172484, -0.027209237498120875]","[0.6514349020458023, 0.6602674258151631, 0.7289005171307577, 0.7397193387228094]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,0.0031271740649676527,False,False,0.7424196859755683,0.7392925119106006,"[0.04673333531322266, 0.03562635384349366, -0.04039886753438293, -0.029452125362462667]","[0.6991942817429788, 0.7077691684292464, 0.7758842757790636, 0.7868310179509839]",fixed,,,,
